"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"GPR112",0,0,0,0,10,3,0,0,0,13,11,11
"MYH8",1,0,0,0,11,1,0,0,0,13,11,11
"NRXN1",0,0,0,0,12,0,0,1,0,13,11,11
"RELN",0,0,0,0,13,0,0,0,0,13,11,11
"STK11",2,1,0,0,2,5,0,3,0,13,11,11
"TEX15",0,0,0,0,13,0,0,0,0,13,11,11
"CDH12",0,0,0,0,11,1,0,0,0,12,11,11
"CLCN1",0,0,0,0,11,0,0,1,0,12,11,11
"FAM47C",0,0,0,0,9,3,0,0,0,12,11,11
"FMN2",2,0,0,0,10,0,0,0,0,12,11,11
"KIAA0947",0,1,0,0,11,0,0,0,0,12,11,11
"MAGEC1",0,0,0,0,11,1,0,0,0,12,11,11
"SCN10A",0,0,0,0,10,1,0,1,0,12,11,11
"SETBP1",0,1,0,0,10,0,0,1,0,12,11,11
"TRPA1",1,0,0,0,10,1,0,0,0,12,11,11
"UNC79",0,1,0,0,10,1,0,0,0,12,11,11
"COL3A1",0,0,0,0,11,0,0,0,0,11,11,11
"DMBT1",0,0,0,0,11,0,0,0,0,11,11,11
"DST",1,0,0,0,7,1,0,2,0,11,11,11
"LPHN3",0,0,0,0,11,0,0,0,0,11,11,11
"NBAS",0,0,0,0,10,1,0,0,0,11,11,11
"NELL1",1,0,0,0,9,0,0,1,0,11,11,11
"PLEC",0,0,0,0,11,0,0,0,0,11,11,11
"PRKDC",0,0,0,0,10,1,0,0,0,11,11,11
"RGPD4",1,0,0,0,10,0,0,0,0,11,11,11
"SIPA1L2",1,0,0,0,9,0,0,1,0,11,11,11
"TRPS1",0,0,0,0,10,1,0,0,0,11,11,11
"NLRP3",2,0,0,0,11,0,0,1,0,14,10,10
"COL6A3",0,1,0,0,12,0,0,0,0,13,10,10
"MUC5B",0,0,0,0,12,0,0,1,0,13,10,10
"TPTE",0,0,0,0,12,0,0,1,0,13,10,10
"COL19A1",0,0,0,0,11,0,0,1,0,12,10,10
"CUBN",0,0,0,0,11,0,0,1,0,12,10,10
"DCDC1",1,0,0,0,10,1,0,0,0,12,10,10
"DNAH10",0,0,0,0,12,0,0,0,0,12,10,10
"DNAH7",1,0,0,0,9,2,0,0,0,12,10,10
"EPHA3",0,0,0,0,10,1,0,1,0,12,10,10
"FER1L6",1,1,0,0,10,0,0,0,0,12,10,10
"MROH2B",1,0,0,0,8,3,0,0,0,12,10,10
"PLCB4",0,0,0,0,10,1,0,1,0,12,10,10
"SYNE2",0,0,0,0,10,1,0,1,0,12,10,10
"TG",1,1,1,0,7,1,0,1,0,12,10,10
"ZNF831",1,0,0,0,9,2,0,0,0,12,10,10
"ZP4",1,0,0,0,11,0,0,0,0,12,10,10
"CHL1",0,0,0,0,9,2,0,0,0,11,10,10
"COL12A1",0,0,0,0,11,0,0,0,0,11,10,10
"COL14A1",0,0,0,0,11,0,0,0,0,11,10,10
"EGFR",0,0,4,1,6,0,0,0,0,11,10,10
"FCGBP",0,0,0,0,10,1,0,0,0,11,10,10
"HERC2",1,0,0,0,10,0,0,0,0,11,10,10
"KMT2D",0,0,0,0,8,2,0,1,0,11,10,10
"LAMA1",1,0,0,0,8,1,0,1,0,11,10,10
"MYH1",1,0,0,0,10,0,0,0,0,11,10,10
"SLITRK1",1,0,0,0,10,0,0,0,0,11,10,10
"SPEG",0,0,0,0,9,2,0,0,0,11,10,10
"ZAN",0,0,0,0,10,0,0,1,0,11,10,10
"ZNF479",0,0,0,0,9,2,0,0,0,11,10,10
"CACNA1C",0,0,0,0,8,2,0,0,0,10,10,10
"CAMTA1",0,0,0,0,10,0,0,0,0,10,10,10
"CDH8",1,0,1,0,7,1,0,0,0,10,10,10
"CFH",0,0,0,0,9,1,0,0,0,10,10,10
"CPS1",0,0,0,0,10,0,0,0,0,10,10,10
"GRIN2A",0,0,0,0,10,0,0,0,0,10,10,10
"KLHL1",0,0,0,0,8,2,0,0,0,10,10,10
"MGA",1,0,0,0,6,3,0,0,0,10,10,10
"NLRP12",0,0,0,0,10,0,0,0,0,10,10,10
"PCDH17",1,0,0,0,9,0,0,0,0,10,10,10
"PKHD1L1",0,0,0,0,9,1,0,0,0,10,10,10
"POM121L12",0,0,0,0,9,1,0,0,0,10,10,10
"THSD7B",1,0,0,0,8,0,0,1,0,10,10,10
"ASXL3",0,0,0,0,15,0,0,0,0,15,9,9
"PTPRT",0,0,0,0,10,3,0,0,0,13,9,9
"FAM135B",0,0,0,0,9,1,0,2,0,12,9,9
"SALL1",1,0,0,0,11,0,0,0,0,12,9,9
"SORCS1",1,0,0,0,11,0,0,0,0,12,9,9
"STAB2",0,0,0,0,10,2,0,0,0,12,9,9
"ZFPM2",0,0,0,0,11,1,0,0,0,12,9,9
"ADCY2",0,0,0,0,9,1,0,1,0,11,9,9
"C20orf26",0,0,0,0,9,1,0,1,0,11,9,9
"CDH17",1,0,0,0,8,1,0,1,0,11,9,9
"COL15A1",0,0,0,0,10,0,0,1,0,11,9,9
"COL7A1",0,0,0,0,7,1,0,3,0,11,9,9
"IGSF1",1,0,0,0,8,2,0,0,0,11,9,9
"LRP2",0,0,0,0,11,0,0,0,0,11,9,9
"MMRN1",0,0,0,0,11,0,0,0,0,11,9,9
"NLRP5",0,0,0,0,11,0,0,0,0,11,9,9
"PCDHA1",0,0,0,0,11,0,0,0,0,11,9,9
"PCDHA2",0,0,0,0,11,0,0,0,0,11,9,9
"TRIOBP",1,0,0,0,9,1,0,0,0,11,9,9
"ADAMTS2",1,0,0,0,8,1,0,0,0,10,9,9
"ADAMTS5",1,0,0,0,7,1,0,1,0,10,9,9
"AFF2",1,0,0,0,9,0,0,0,0,10,9,9
"AHNAK",0,0,0,0,10,0,0,0,0,10,9,9
"BIRC6",0,0,0,0,8,1,0,1,0,10,9,9
"BRAF",0,0,1,0,8,1,0,0,0,10,9,9
"COL4A2",0,0,0,0,9,0,0,1,0,10,9,9
"COL4A5",0,0,0,0,9,1,0,0,0,10,9,9
"CRB1",0,0,0,0,9,1,0,0,0,10,9,9
"DNAH3",0,0,0,0,10,0,0,0,0,10,9,9
"EPHB6",1,0,0,0,8,1,0,0,0,10,9,9
"GRM1",1,0,0,0,9,0,0,0,0,10,9,9
"ITPR2",0,1,0,0,8,1,0,0,0,10,9,9
"LAMB3",0,1,0,0,9,0,0,0,0,10,9,9
"NCKAP5",0,0,0,0,9,1,0,0,0,10,9,9
"OR2L2",0,0,0,0,10,0,0,0,0,10,9,9
"OR4N4",0,0,0,0,10,0,0,0,0,10,9,9
"PCDHB8",0,0,0,0,10,0,0,0,0,10,9,9
"PCDHGA3",1,1,0,0,7,1,0,0,0,10,9,9
"PKP2",0,0,0,0,8,2,0,0,0,10,9,9
"SCN3A",1,0,0,0,8,1,0,0,0,10,9,9
"UTRN",1,0,0,0,8,0,0,1,0,10,9,9
"ZNF208",0,0,0,0,8,2,0,0,0,10,9,9
"ABCB1",0,0,0,0,8,1,0,0,0,9,9,9
"ACTN2",0,0,0,0,8,1,0,0,0,9,9,9
"BAI3",0,0,0,0,9,0,0,0,0,9,9,9
"COL24A1",0,1,0,0,7,1,0,0,0,9,9,9
"COL5A2",0,1,0,0,7,0,0,1,0,9,9,9
"DYNC2H1",0,0,0,0,9,0,0,0,0,9,9,9
"FAM71B",1,0,0,0,8,0,0,0,0,9,9,9
"FLNC",0,0,0,0,8,1,0,0,0,9,9,9
"FRAS1",0,0,0,0,9,0,0,0,0,9,9,9
"FSCB",0,0,0,0,7,2,0,0,0,9,9,9
"FZD10",1,0,0,0,8,0,0,0,0,9,9,9
